txPk:vector(packetBytes) baselineTestQoS.router0.ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),,rxPkOk:vector(packetBytes) baselineTestQoS.router0.ppp[0].ppp (#0 - testingConfigurator5slices-0-20240408-14:54:13-23197),
0.0808707,847,0.1636359352,1499
0.08093846,47,0.1636396952,47
0.08094222,847,0.1637596152,1499
0.08100998,47,0.1637633752,47
0.08101374,847,0.1638832952,1499
0.0810815,47,0.1638870552,47
0.08108526,847,0.1640069752,1499
0.08115302,47,0.1640107352,47
0.08115678,847,0.1641306552,1499
0.08122454,47,0.1641344152,47
0.0812283,847,0.1642543352,1499
0.08129606,47,0.1642580952,47
0.08129982,847,0.1643780152,1499
0.08136758,47,0.1643817752,47
0.08137134,847,0.1645016952,1499
0.0814391,47,0.1645054552,47
0.08144286,847,0.1646253752,1499
0.08151062,47,0.1646291352,47
0.08151438,847,0.1647490552,1499
0.08158214,47,0.1647528152,47
0.0815859,847,0.1648727352,1499
0.08165366,47,0.1648764952,47
0.08165742,847,0.1649964152,1499
0.08172518,47,0.1650001752,47
0.08172894,847,0.1651200952,1499
0.0817967,47,0.1651238552,47
0.08180046,847,0.1652437752,1499
0.08186822,47,0.1652475352,47
0.08187198,847,0.1653674552,1499
0.08193974,47,0.1653712152,47
0.0819435,847,0.1654911352,1499
0.08201126,47,0.1654948952,47
0.08201502,847,0.1656148152,1499
0.08208278,47,0.1656185752,47
0.08208654,847,0.1657384952,1499
0.0821543,47,0.1657422552,47
0.08215806,847,0.1658621752,1499
0.08222582,47,0.1658659352,47
0.08222958,847,0.1659858552,1499
0.08229734,47,0.1659896152,47
0.0823011,847,0.1661095352,1499
0.08236886,47,0.1661132952,47
0.08237262,847,0.1662332152,1499
0.08244038,47,0.1662369752,47
0.08244414,847,0.1663568952,1499
0.0825119,47,0.1663606552,47
0.08251566,847,0.1664805752,1499
0.08258342,47,0.1664843352,47
0.08258718,847,0.1666042552,1499
0.08265494,47,0.1666080152,47
0.0826587,847,0.1667279352,1499
0.08272646,47,0.1667316952,47
0.08273022,847,0.1668516152,1499
0.08279798,47,0.1668553752,47
0.08280174,847,0.1669752952,1499
0.0828695,47,0.1669790552,47
0.08287326,847,0.1670989752,1499
0.08294102,47,0.1671027352,47
0.08294478,847,0.1672226552,1499
0.08301254,47,0.1672264152,47
0.0830163,847,0.1673463352,1499
0.08308406,47,0.1673500952,47
0.08308782,847,0.1674700152,1499
0.08315558,47,0.1674737752,47
0.08315934,847,0.1675936952,1499
0.0832271,47,0.1675974552,47
0.08323086,847,0.1677173752,1499
0.08329862,47,0.1677211352,47
0.08330238,847,0.1678410552,1499
0.08337014,47,0.1678448152,47
0.0833739,847,0.1679647352,1499
0.08344166,47,0.1679684952,47
0.08344542,847,0.1680884152,1499
0.08351318,47,0.1680921752,47
0.08351694,847,0.1682120952,1499
0.0835847,47,0.1682158552,47
0.08358846,847,0.1683357752,1499
0.08365622,47,0.1683395352,47
0.08365998,847,0.1684594552,1499
0.08372774,47,0.1684632152,47
0.0837315,847,0.1685831352,1499
0.08379926,47,0.1685868952,47
0.08380302,847,0.1687068152,1499
0.08387078,47,0.1687105752,47
0.08387454,847,0.1688304952,1499
0.0839423,47,0.1688342552,47
0.08394606,847,0.1689541752,1499
0.08401382,47,0.1689579352,47
0.08401758,847,0.1690778552,1499
0.08408534,47,0.1690816152,47
0.0840891,847,0.1692015352,1499
0.08415686,47,0.1692052952,47
0.08416062,847,0.1693252152,1499
0.08422838,47,0.1693289752,47
0.08423214,847,0.1694488952,1499
0.0842999,47,0.1694526552,47
0.08430366,847,0.1695725752,1499
0.08437142,47,0.1695763352,47
0.08437518,847,0.1696962552,1499
0.08444294,47,0.1697000152,47
0.0844467,847,0.1698199352,1499
0.08451446,47,0.1698236952,47
0.08451822,847,0.1699436152,1499
0.08458598,47,0.1699473752,47
0.08458974,847,0.1700672952,1499
0.0846575,47,0.1700710552,47
0.08466126,847,0.1701909752,1499
0.08472902,47,0.1701947352,47
0.08473278,847,0.1703146552,1499
0.08480054,47,0.1703184152,47
0.0848043,847,0.1704383352,1499
0.08487206,47,0.1704420952,47
0.08487582,847,0.1705620152,1499
0.08494358,47,0.1705657752,47
0.08494734,847,0.1706856952,1499
0.0850151,47,0.1706894552,47
0.08501886,847,0.1708093752,1499
0.08508662,47,0.1708131352,47
0.08509038,847,0.1709330552,1499
0.08515814,47,0.1709368152,47
0.0851619,847,0.1710567352,1499
0.08522966,47,0.1710604952,47
0.08523342,847,0.1711804152,1499
0.08530118,47,0.1711841752,47
0.08530494,847,0.1713040952,1499
0.0853727,47,0.1713078552,47
0.08537646,847,0.1714277752,1499
0.08544422,47,0.1714315352,47
0.08544798,847,0.1715514552,1499
0.08551574,47,0.1715552152,47
0.0855195,847,0.1716751352,1499
0.08558726,47,0.1716788952,47
0.08559102,847,0.1717988152,1499
