numActiveSessions:vector baselineTestQoS.hostVID[1].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,DASHBufferLength:vector baselineTestQoS.hostVID[1].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,DASHVideoPlaybackPointer:vector baselineTestQoS.hostVID[1].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,DASHVideoBitrate:vector baselineTestQoS.hostVID[1].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,DASHVideoResolution:vector baselineTestQoS.hostVID[1].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,DASHVideoPlaybackStatus:vector baselineTestQoS.hostVID[1].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,txPk:vector(packetBytes) baselineTestQoS.hostVID[1].ppp[0].ppp (#0 - testingConfigurator-0-20240322-13:22:53-30801),,rxPkOk:vector(packetBytes) baselineTestQoS.hostVID[1].ppp[0].ppp (#0 - testingConfigurator-0-20240322-13:22:53-30801),,rtt:vector baselineTestQoS.hostVID[1].tcp.conn-293 (#0 - testingConfigurator-0-20240322-13:22:53-30801),,endToEndDelay:vector baselineTestQoS.hostVID[1].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),,DASHReceivedBytes:vector baselineTestQoS.hostVID[1].app[0] (#0 - testingConfigurator-0-20240322-13:22:53-30801),
,,,,,,,,,,,,1.532225657634,47,1.542883497634,1499,,,1.562055657634,0.56990039236799994,,
,,,,,,,,,,,,1.542883497634,47,1.553661257634,1499,,,1.564334137634,0.57217887236799991,,
,,,,,,,,,,,,1.553661257634,47,1.562055657634,1499,,,1.575130697634,0.582975432367999865,,
,,,,,,,,,,,,1.562055657634,47,1.564334137634,1499,,,1.585788537634,0.593633272368000006,,
,,,,,,,,,,,,1.564334137634,47,1.575130697634,1499,,,1.596461417634,0.604306152368000001,,
,,,,,,,,,,,,1.575130697634,47,1.585788537634,1499,,,1.607254217634,0.615098952367999937,,
,,,,,,,,,,,,1.585788537634,47,1.596461417634,1499,,,1.617927097634,0.625771832367999934,,
,,,,,,,,,,,,1.596461417634,47,1.607254217634,1499,,,1.628603737634,0.636448472367999948,,
,,,,,,,,,,,,1.607254217634,47,1.617927097634,1499,,,1.639400297634,0.647245032367999903,,
,,,,,,,,,,,,1.617927097634,47,1.628603737634,1499,,,1.650073177634,0.657917912367999898,,
,,,,,,,,,,,,1.628603737634,47,1.639400297634,1499,,,1.660746057634,0.668590792367999895,,
,,,,,,,,,,,,1.639400297634,47,1.650073177634,1499,,,1.671782457634,0.679627192367999951,,
,,,,,,,,,,,,1.650073177634,47,1.660746057634,1499,,,1.682455337634,0.690300072367999946,,
,,,,,,,,,,,,1.660746057634,47,1.671782457634,1499,,,1.693128217634,0.700972952367999943,,
,,,,,,,,,,,,1.671782457634,47,1.682455337634,1499,,,1.703681177634,0.711525912368,,
,,,,,,,,,,,,1.682455337634,47,1.693128217634,1499,,,1.714234137634,0.722078872367999831,,
,,,,,,,,,,,,1.693128217634,47,1.703681177634,1499,,,1.725026937634,0.73287167236799999,,
,,,,,,,,,,,,1.703681177634,47,1.714234137634,1499,,,1.735699817634,0.743544552367999985,,
