txPk:vector(packetBytes) baselineTestQoS.router0.ppp[0].ppp (#0 - testingConfigurator-0-20240322-13:22:53-30801),,rxPkOk:vector(packetBytes) baselineTestQoS.router0.ppp[0].ppp (#0 - testingConfigurator-0-20240322-13:22:53-30801),
0.372050934434,47,0.422532982772,1499
0.372054694434,247,0.423852902772,1499
0.372936958244,47,0.425172822772,1499
0.372940718244,47,0.426592742772,1499
0.374581085395,51,0.426800722359,47
0.375125274486,47,0.426920642359,1499
0.383331043446,47,0.427840562359,1499
0.383334803446,247,0.429260482359,1499
0.384044400466,47,0.431880402359,1499
0.384048160466,247,0.433401754402,47
0.390246551663,47,0.433521674402,1499
0.393434847986,47,0.433734812127,1499
0.393554767986,47,0.433854732127,1499
0.407438961933,47,0.435094546566,1499
0.407558881933,47,0.435214466566,1499
0.410884936127,47,0.435533187366,1499
0.411004856127,47,0.43644364187,1499
0.412769368428,47,0.43656356187,1499
0.412889288428,47,0.43688348187,1499
0.414403680428,47,0.437083786615,1499
0.414407440428,247,0.437203706615,1499
0.414427200428,47,0.438202131415,1499
0.414633208428,47,0.438805891415,47
0.414753128428,47,0.439622051415,1499
0.414873048428,47,0.440941971415,1499
0.41682133029,47,0.441586424476,47
0.41694125029,47,0.441706344476,1499
0.41725997109,47,0.442326264476,1499
0.41867989109,47,0.443646184476,1499
0.41989981109,47,0.444966104476,1499
0.42001973109,47,0.446286024476,1499
0.420193182696,51,0.447605944476,1499
0.42129981109,47,0.448321033948,1499
0.421525630772,47,0.448440953948,1499
0.422645550772,47,0.448960873948,1499
0.423965470772,47,0.450064633948,47
0.425285390772,47,0.450284553948,1499
0.426705310772,47,0.452079848834,47
0.426933586359,47,0.452199768834,1499
0.426937346359,47,0.453063274244,1499
0.427953130359,47,0.453183194244,1499
0.429373050359,47,0.454689526995,51
0.431992970359,47,0.454793286995,47
0.433634242402,47,0.455251590486,1499
0.433847380127,47,0.455371510486,1499
0.433967300127,47,0.463359957846,47
0.435207114566,47,0.463479877846,1499
0.435327034566,47,0.464073314866,47
0.435645755366,47,0.464193234866,1499
0.43655620987,47,0.470372867663,1499
0.43667612987,47,0.470492787663,1499
0.43699604987,47,0.473561163986,1499
0.437196354615,47,0.473681083986,1499
0.437316274615,47,0.477201003986,1499
0.438314699415,47,0.482520923986,1499
0.439734619415,47,0.487565277933,1499
0.441054539415,47,0.487685197933,1499
0.441818912476,47,0.491011252127,1499
0.442438832476,47,0.491131172127,1499
0.443758752476,47,0.491251092127,1499
0.445078672476,47,0.492895684428,1499
0.446398592476,47,0.493015604428,1499
0.446996639644,51,0.494432594828,47
0.447718512476,47,0.494552514828,1499
0.448433601948,47,0.494672434828,1499
0.448553521948,47,0.494792354828,1499
0.449073441948,47,0.494912274828,1499
0.450397121948,47,0.495032194828,1499
0.452312336834,47,0.496552114828,1499
0.453175842244,47,0.49694764629,1499
0.453295762244,47,0.49706756629,1499
0.454697286995,47,0.49738508789,1499
0.454701046995,847,0.49850500789,1499
0.455364158486,47,0.49880500789,1499
0.455484078486,47,0.50002492789,1499
0.463592445846,47,0.50014484789,1499
0.464305802866,47,0.500301624296,51
0.470485435663,47,0.501421544296,1499
0.470605355663,47,0.501651946772,1499
0.473673731986,47,0.501771866772,1499
0.473793651986,47,0.502770667572,1499
0.477313571986,47,0.503890587572,1499
0.482628213692,47,0.504090587572,1499
0.482631973692,51,0.505310507572,1499
0.487677845933,47,0.505430427572,1499
0.487797765933,47,0.506830427572,1499
0.491123820127,47,0.507059902359,1499
0.491243740127,47,0.507179822359,1499
0.491363660127,47,0.508078247159,1499
0.493008252428,47,0.508782007159,47
0.493128172428,47,0.509498167159,1499
0.493627586088,51,0.510718087159,1499
0.494665082828,47,0.510838007159,1499
0.494785002828,47,0.512118087159,1499
0.494904922828,47,0.513438007159,1499
0.495024842828,47,0.513760558402,1499
0.495144762828,47,0.513880478402,1499
0.496664682828,47,0.514000398402,1499
0.49706021429,47,0.514120318402,1499
0.49718013429,47,0.514840238402,1499
0.49749765589,47,0.515333430566,1499
0.49861757589,47,0.515453350566,1499
0.49891757589,47,0.515872071366,1499
0.50013749589,47,0.515991991366,1499
0.50025741589,47,0.516111911366,1499
0.500304584296,47,0.51668252587,1499
0.500308344296,247,0.51680244587,1499
0.501534112296,47,0.51712116667,1499
0.501764514772,47,0.517322670615,1499
0.501884434772,47,0.517442590615,1499
0.502883235572,47,0.517562510615,1499
0.504003155572,47,0.518541015415,1499
0.504203155572,47,0.518860935415,1499
0.505423075572,47,0.519180855415,1499
0.505542995572,47,0.519800775415,1499
0.506942995572,47,0.520220695415,1499
0.507172470359,47,0.520340615415,1499
0.507292390359,47,0.521160535415,1499
0.508190815159,47,0.521380455415,1499
0.509610735159,47,0.521500375415,1499
0.510830655159,47,0.521820295415,1499
0.510950575159,47,0.521945228476,1499
0.512230655159,47,0.522065148476,1499
0.513550575159,47,0.522485068476,1499
0.513873126402,47,0.522904988476,1499
0.513993046402,47,0.523824908476,1499
0.514112966402,47,0.524144828476,1499
0.514232886402,47,0.525164748476,1499
0.514952806402,47,0.525584668476,1499
0.515445998566,47,0.525704588476,1499
0.515565918566,47,0.526523709276,1499
0.515984639366,47,0.526843629276,1499
0.516104559366,47,0.527105081244,51
0.516224479366,47,0.527825001244,1499
0.51679509387,47,0.528244921244,1499
0.51691501387,47,0.528559917948,1499
0.51723373467,47,0.528679837948,1499
0.517435238615,47,0.529198558748,1499
0.517555158615,47,0.529518478748,1499
0.517675078615,47,0.530438398748,1499
0.518653583415,47,0.530558318748,1499
0.518973503415,47,0.530878238748,1499
0.519293423415,47,0.531898158748,1499
0.519913343415,47,0.532438652834,1499
0.520318388458,47,0.532558572834,1499
0.520322148458,51,0.533078492834,1499
0.520453183415,47,0.533198412834,1499
0.521273103415,47,0.533318332834,1499
0.521493023415,47,0.533438252834,1499
0.521612943415,47,0.533558172834,1499
0.521932863415,47,0.534578092834,1499
0.522057796476,47,0.534774681395,47
0.522177716476,47,0.534894601395,1499
