rxPkOk:vector(packetBytes) baselineTestQoS.router0.ppp[1].ppp (#0 - testingConfigurator-0-20240322-13:22:53-30801),,txPk:vector(packetBytes) baselineTestQoS.router0.ppp[1].ppp (#0 - testingConfigurator-0-20240322-13:22:53-30801),
2.200431253634,47,2.212290765634,1499
2.212303333634,47,2.223083565634,1499
2.223096133634,47,2.233756445634,1499
2.233769013634,47,2.243230125634,1499
2.243242693634,47,2.255102205634,1499
2.255114773634,47,2.265895005634,1499
2.265907573634,47,2.275368685634,1499
2.275381253634,47,2.287240765634,1499
2.287253333634,47,2.298033565634,1499
2.298046133634,47,2.308706445634,1499
2.308719013634,47,2.318180125634,1499
2.318192693634,47,2.330052205634,1499
2.330064773634,47,2.340725085634,1499
2.340737653634,47,2.350318685634,1499
2.350331253634,47,2.361831005634,1499
2.361843573634,47,2.372096365634,1499
2.372108933634,47,2.383248925634,1499
2.383261493634,47,2.394281565634,1499
2.394294133634,47,2.404954445634,1499
2.404967013634,47,2.414543245634,1499
2.414555813634,47,2.426055565634,1499
2.426068133634,47,2.437088205634,1499
2.437100773634,47,2.446681805634,1499
2.446694373634,47,2.458557645634,1499
2.458570213634,47,2.469350445634,1499
2.469363013634,47,2.479663565634,1499
2.479676133634,47,2.490819885634,1499
2.490832453634,47,2.501013085634,1499
2.501025653634,47,2.512165645634,1499
2.512178213634,47,2.517322205634,1499
2.517334773634,47,2.522358845634,1499
2.522371413634,47,2.532312205634,1499
2.532324773634,47,2.543584685634,1499
2.543597253634,47,2.553736205634,1499
2.553748773634,47,2.564409085634,1499
2.564421653634,47,2.575120205634,1499
2.575132773634,47,2.586392685634,1499
2.586405253634,47,2.596704045634,1499
2.596716613634,47,2.607241565634,1499
2.607254133634,47,2.618514045634,1499
2.618526613634,47,2.622351485634,1499
2.622364053634,47,2.628827165634,1499
2.628839733634,47,2.639983485634,1499
2.639996053634,47,2.650660125634,1499
2.650672693634,47,2.661936365634,1499
2.661948933634,47,2.672493085634,1499
2.672505653634,47,2.682326525634,1499
2.682339093634,47,2.693112205634,1499
2.693124773634,47,2.703797165634,1499
2.703809733634,47,2.714470045634,1499
2.714482613634,47,2.725142925634,1499
2.725155493634,47,2.735935725634,1499
2.735948293634,47,2.746608605634,1499
2.746621173634,47,2.757281485634,1499
2.757294053634,47,2.763625405634,1499
2.763637973634,47,2.768062445634,1499
2.768075013634,47,2.778760285634,1499
2.778772853634,47,2.789796685634,1499
2.789809253634,47,2.800229725634,1499
2.800242293634,47,2.811262365634,1499
2.811274933634,47,2.821935245634,1499
2.821947813634,47,2.832608125634,1499
2.832620693634,47,2.843404685634,1499
2.843417253634,47,2.855520365634,1499
2.855532933634,47,2.866193245634,1499
2.866205813634,47,2.876746205634,1499
2.876758773634,47,2.887299165634,1499
2.887311733634,47,2.898091965634,1499
2.898104533634,47,2.908764845634,1499
2.908777413634,47,2.919197885634,1499
2.919210453634,47,2.930230525634,1499
2.930243093634,47,2.940663565634,1499
2.940676133634,47,2.951546125634,1499
2.951558693634,47,2.961979165634,1499
2.961991733634,47,3.042202445634,1042
3.042211357634,47,3.122459885634,47
3.042213333634,247,3.122579805634,1499
3.122592373634,47,3.123059485634,1499
3.123072053634,47,3.132653085634,1499
3.132665653634,47,3.143206045634,1499
3.143218613634,47,3.151963965634,1499
3.151976533634,47,3.162520685634,1499
3.162533253634,47,3.174156685634,1499
3.174169253634,47,3.184349885634,1499
3.184362453634,47,3.194423165634,1499
3.194435733634,47,3.202697645634,1499
3.202710213634,47,3.205575725634,1499
3.205588293634,47,3.216248605634,1499
3.216261173634,47,3.227161325634,1499
3.227173893634,47,3.237234605634,1499
3.237247173634,47,3.248387165634,1499
3.248399733634,47,3.259060045634,1499
3.259072613634,47,3.269368365634,1499
3.269380933634,47,3.280520925634,1499
3.280533493634,47,3.291193805634,1499
3.291206373634,47,3.301506925634,1499
3.301519493634,47,3.314937965634,1499
3.314950533634,47,3.323528045634,1499
3.323540613634,47,3.333601325634,1499
3.333613893634,47,3.346196685634,1499
3.346209253634,47,3.355430525634,1499
3.355443093634,47,3.365743645634,1499
3.365756213634,47,3.376896205634,1499
3.376908773634,47,3.387582125634,1499
3.387594693634,47,3.397845565634,1499
3.397858133634,47,3.409001885634,1499
3.409014453634,47,3.419674765634,1499
3.419687333634,47,3.427589485634,1499
3.427602053634,47,3.429987885634,1499
3.430000453634,47,3.441140445634,1499
3.441153013634,47,3.451813325634,1499
3.451825893634,47,3.462489965634,1499
3.462502533634,47,3.472803085634,1499
3.472815653634,47,3.483959405634,1499
3.483971973634,47,3.494632285634,1499
3.494644853634,47,3.505545005634,1499
3.505557573634,47,3.516035565634,1499
3.516048133634,47,3.526348685634,1499
3.526361253634,47,3.537501245634,1499
3.537513813634,47,3.548174125634,1499
3.548186693634,47,3.559086845634,1499
3.559099413634,47,3.569160125634,1499
3.569172693634,47,3.580312685634,1499
3.580325253634,47,3.591229165634,1499
3.591241733634,47,3.601302445634,1499
3.601315013634,47,3.612411805634,1499
3.612424373634,47,3.623329565634,1499
3.623342133634,47,3.633402845634,1499
3.633415413634,47,3.644555405634,1499
3.644567973634,47,3.655228285634,1499
3.655240853634,47,3.663143005634,1499
3.663155573634,47,3.665541405634,1499
3.665553973634,47,3.676693965634,1499
3.676706533634,47,3.689689725634,1499
3.689702293634,47,3.699410765634,1499
3.699423333634,47,3.708764525634,1499
3.708777093634,47,3.719077645634,1499
3.719090213634,47,3.730230205634,1499
3.730242773634,47,3.740903085634,1499
3.740915653634,47,3.754334125634,1499
3.754346693634,47,3.762132685634,1499
3.762145253634,47,3.775323885634,1499
3.775336453634,47,3.785876845634,1499
3.785889413634,47,3.797149325634,1499
3.797161893634,47,3.804944125634,1499
3.804956693634,47,3.818015405634,1499
3.818027973634,47,3.828714445634,1499
3.828727013634,47,3.840043485634,1499
3.840056053634,47,3.850116765634,1499
3.850129333634,47,3.860789645634,1499
3.860802213634,47,3.871462525634,1499
3.871475093634,47,3.881895565634,1499
3.881908133634,47,3.892328605634,1499
3.892341173634,47,3.901086525634,1499
3.901099093634,47,3.914037885634,1499
3.914050453634,47,3.922795805634,1499
3.922808373634,47,3.930826605634,1499
3.930839173634,47,3.933824605634,1499
3.933837173634,47,3.944497485634,1499
3.944510053634,47,3.954903485634,1499
3.954916053634,47,3.965936125634,1499
3.965948693634,47,3.976609005634,1499
3.976621573634,47,3.987042045634,1499
3.987054613634,47,3.998038525634,1499
3.998051093634,47,4.008591485634,1499
4.008604053634,47,4.020827085634,1499
4.020839653634,47,4.029701165634,1499
4.029713733634,47,4.040617645634,1499
4.040630213634,47,4.053209245634,1499
4.053221813634,47,4.061963405634,1499
4.061975973634,47,4.073119725634,1499
4.073132293634,47,4.085351565634,1499
4.085364133634,47,4.094105725634,1499
4.094118293634,47,4.105138365634,1499
4.105150933634,47,4.115811245634,1499
4.115823813634,47,4.126364205634,1499
4.126376773634,47,4.136913885634,1499
4.136926453634,47,4.147586765634,1499
4.147599333634,47,4.158139725634,1499
4.158152293634,47,4.168812605634,1499
4.168825173634,47,4.179725325634,1499
4.179737893634,47,4.190278285634,1499
4.190290853634,47,4.200951165634,1499
4.200963733634,47,4.211624045634,1499
4.211636613634,47,4.222312765634,1499
4.222325333634,47,4.234544605634,1499
4.234557173634,47,4.235983645634,1499
4.235996213634,47,4.244977645634,1499
4.244990213634,47,4.254451325634,1499
4.254463893634,47,4.265124205634,1499
4.265136773634,47,4.345917565634,1394
4.345929293634,47,4.427474445634,47
4.345931269634,247,4.427594365634,1499
4.427606933634,47,4.428673645634,1499
4.428686213634,47,4.435629005634,1499
