numActiveSessions:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHBufferLength:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoPlaybackPointer:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoBitrate:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoResolution:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHVideoPlaybackStatus:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.hostVID[0].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rxPkOk:vector(packetBytes) baselineTestQoS.hostVID[0].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,rtt:vector baselineTestQoS.hostVID[0].tcp.conn-511 (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,DASHReceivedBytes:vector baselineTestQoS.hostVID[0].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
,,,,,,,,,,,,0.630680269099,47,0.630800189099,1499,,,0.639673921328,0.289758954464999995,,
,,,,,,,,,,,,0.630800189099,47,0.634530703986,1499,,,0.644990076172,0.295075109308999937,,
,,,,,,,,,,,,0.634530703986,47,0.639673921328,1499,,,0.650357172943,0.300442206079999939,,
,,,,,,,,,,,,0.639673921328,47,0.644990076172,1499,,,0.655663951478,0.305748984614999995,,
,,,,,,,,,,,,0.644990076172,47,0.650357172943,1499,,,0.661052735728,0.311137768864999996,,
,,,,,,,,,,,,0.650357172943,47,0.655663951478,1499,,,0.710919153099,0.361004186235999945,,
,,,,,,,,,,,,0.655663951478,47,0.661052735728,1499,,,0.711039073099,0.361124106235999995,,
,,,,,,,,,,,,0.661052735728,47,0.710919153099,1499,,,0.714588222017,0.364673255153999951,,
,,,,,,,,,,,,0.710919153099,47,0.711039073099,1499,,,0.720031526128,0.370116559264999976,,
,,,,,,,,,,,,0.711039073099,47,0.714588222017,1499,,,0.725193392148,0.375278425284999992,,
,,,,,,,,,,,,0.714588222017,47,0.720031526128,1499,,,0.730592824007,0.38067785714399993,,
,,,,,,,,,,,,0.720031526128,47,0.725193392148,1499,,,0.736093023478,0.38617805661499993,,
,,,,,,,,,,,,0.725193392148,47,0.730592824007,1499,,,0.741369147359,0.391454180496000002,,
,,,,,,,,,,,,0.730592824007,47,0.736093023478,1499,,,0.746657257607,0.396742290744000023,,
