rxPkOk:vector(packetBytes) baselineTestQoS.hostVIP[35].ppp[0].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,endToEndDelay:vector baselineTestQoS.hostVIP[35].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,packetLossRate:vector baselineTestQoS.hostVIP[35].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,playoutDelay:vector baselineTestQoS.hostVIP[35].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,playoutLossRate:vector baselineTestQoS.hostVIP[35].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,mos:vector baselineTestQoS.hostVIP[35].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,taildropLossRate:vector baselineTestQoS.hostVIP[35].app[0] (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
2.5252778552,75,2.5252778552,0.060569050870000001,,,,,,,,,,
2.5447890552,75,2.5447890552,0.06008025086999999,,,,,,,,,,
2.5648163352,75,2.5648163352,0.060107530869999994,,,,,,,,,,
2.5848272952,75,2.5848272952,0.060118490869999999,,,,,,,,,,
2.6048165752,75,2.6048165752,0.060107770869999993,,,,,,,,,,
2.6248098552,75,2.6248098552,0.060101050869999991,,,,,,,,,,
2.6448384152,75,2.6448384152,0.060129610870000002,,,,,,,,,,
2.6649664952,75,2.6649664952,0.060257690869999991,,,,,,,,,,
2.6848788952,75,2.6848788952,0.060170090869999997,,,,,,,,,,
2.7047935352,75,2.7047935352,0.060084730869999991,,,,,,,,,,
2.7247723352,75,2.7247723352,0.060063530869999992,,,,,,,,,,
2.7449849752,75,2.7449849752,0.060276170869999992,,,,,,,,,,
2.7648389752,75,2.7648389752,0.060130170869999999,,,,,,,,,,
2.7848155352,75,2.7848155352,0.060106730869999999,,,,,,,,,,
2.8047324952,75,2.8047324952,0.060023690869999993,,,,,,,,,,
2.8248188152,75,2.8248188152,0.060110010869999993,,,,,,,,,,
2.8447275352,75,2.8447275352,0.060018730869999994,,,,,,,,,,
2.8647230552,75,2.8647230552,0.060014250869999993,,,,,,,,,,
2.8849441752,75,2.8849441752,0.060235370869999998,,,,,,,,,,
2.9049194552,75,2.9049194552,0.060210650869999992,,,,,,,,,,
2.9247356952,75,2.9247356952,0.060026890870000001,,,,,,,,,,
2.9447551352,75,2.9447551352,0.060046330869999997,,,,,,,,,,
2.9649484952,75,2.9649484952,0.06023969087,,,,,,,,,,
2.9848960152,75,2.9848960152,0.060187210869999993,,,,,,,,,,
3.0048826552,75,3.0048826552,0.060173850869999989,,,,,,,,,,
3.0247323352,75,3.0247323352,0.060023530869999993,,,,,,,,,,
3.0450595352,75,3.0450595352,0.060350730869999993,,,,,,,,,,
3.0647871352,75,3.0647871352,0.060078330870000001,,,,,,,,,,
3.0885524152,75,3.0885524152,0.063843610869999983,,,,,,,,,,
3.1059511352,75,3.1059511352,0.06124233087,,,,,,,,,,
3.1287189752,75,3.1287189752,0.064010170869999993,,,,,,,,,,
3.1488138552,75,3.1488138552,0.064105050869999985,,,,,,,,,,
3.1685578552,75,3.1685578552,0.063849050869999979,,,,,,,,,,
3.1862578552,75,3.1862578552,0.061549050869999996,,,,,,,,,,
3.2065052152,75,3.2065052152,0.061796410869999998,,,,,,,,,,
3.2247729752,75,3.2247729752,0.060064170870000002,,,,,,,,,,
3.2455152152,75,3.2455152152,0.060806410869999993,,,,,,,,,,
3.2654180152,75,3.2654180152,0.060709210870000001,,,,,,,,,,
3.2873881752,75,3.2873881752,0.06267937087,,,,,,,,,,
3.3050698552,75,3.3050698552,0.060361050870000001,,,,,,,,,,
3.3260671352,75,3.3260671352,0.061358330869999991,,,,,,,,,,
3.3460543352,75,3.3460543352,0.061345530869999997,,,,,,,,,,
3.3648525752,75,3.3648525752,0.060143770870000001,,,,,,,,,,
3.3848142552,75,3.3848142552,0.060105450869999993,,,,,,,,,,
3.4048189752,75,3.4048189752,0.060110170869999992,,,,,,,,,,
3.4251986552,75,3.4251986552,0.06048985087,,,,,,,,,,
3.4448026552,75,3.4448026552,0.060093850869999992,,,,,,,,,,
3.4647731352,75,3.4647731352,0.060064330870000001,,,,,,,,,,
3.4847541752,75,3.4847541752,0.060045370870000003,,,,,,,,,,
3.5048732152,75,3.5048732152,0.060164410869999989,,,,,,,,,,
3.5247208952,75,3.5247208952,0.060012090869999992,,,,,,,,,,
3.5447470552,75,3.5447470552,0.060038250869999989,,,,,,,,,,
3.5647781752,75,3.5647781752,0.060069370869999999,,,,,,,,,,
3.5847485752,75,3.5847485752,0.060039770869999994,,,,,,,,,,
3.6048431352,75,3.6048431352,0.060134330870000002,,,,,,,,,,
3.6247907352,75,3.6247907352,0.060081930869999994,,,,,,,,,,
3.6448126552,75,3.6448126552,0.060103850870000002,,,,,,,,,,
3.6649445752,75,3.6649445752,0.060235770869999996,,,,,,,,,,
3.6847304152,75,3.6847304152,0.060021610869999991,,,,,,,,,,
3.7048242552,75,3.7048242552,0.060115450870000003,,,,,,,,,,
3.7250888152,75,3.7250888152,0.06038001087,,,,,,,,,,
3.7449040152,75,3.7449040152,0.060195210870000001,,,,,,,,,,
3.7647251352,75,3.7647251352,0.060016330869999995,,,,,,,,,,
3.7848148152,75,3.7848148152,0.060106010869999989,,,,,,,,,,
3.8048793752,75,3.8048793752,0.060170570869999995,,,,,,,,,,
3.8248456952,75,3.8248456952,0.06013689087,,,,,,,,,,
3.8448159352,75,3.8448159352,0.060107130869999997,,,,,,,,,,
3.8648396952,75,3.8648396952,0.060130890869999994,,,,,,,,,,
3.8848168952,75,3.8848168952,0.060108090869999991,,,,,,,,,,
3.9047260152,75,3.9047260152,0.060017210869999989,,,,,,,,,,
3.9248127352,75,3.9248127352,0.060103930870000002,,,,,,,,,,
3.9450199352,75,3.9450199352,0.060311130869999992,,,,,,,,,,
3.9647595352,75,3.9647595352,0.060050730869999998,,,,,,,,,,
3.9847260152,75,3.9847260152,0.060017210869999989,,,,,,,,,,
4.0048032152,75,4.0048032152,0.060094410869999989,,,,,,,,,,
4.0247364152,75,4.0247364152,0.060027610869999997,,,,,,,,,,
4.0448920952,75,4.0448920952,0.060183290870000002,,,,,,,,,,
4.0648247352,75,4.0648247352,0.06011593087,,,,,,,,,,
4.0862621752,75,4.0862621752,0.061553370869999998,,,,,,,,,,
4.1078556152,75,4.1078556152,0.063146810869999986,,,,,,,,,,
4.1266156152,75,4.1266156152,0.061906810869999995,,,,,,,,,,
4.1449018552,75,4.1449018552,0.06019305087,,,,,,,,,,
4.1661994552,75,4.1661994552,0.061490650869999996,,,,,,,,,,
4.1861158552,75,4.1861158552,0.061407050869999993,,,,,,,,,,
4.2056712152,75,4.2056712152,0.060962410869999996,,,,,,,,,,
4.2253980952,75,4.2253980952,0.060689290869999995,,,,,,,,,,
4.2451442552,75,4.2451442552,0.06043545086999999,,,,,,,,,,
4.2654528152,75,4.2654528152,0.060744010869999989,,,,,,,,,,
4.2850676152,75,4.2850676152,0.060358810870000001,,,,,,,,,,
4.3059032152,75,4.3059032152,0.061194410869999993,,,,,,,,,,
4.3248498552,75,4.3248498552,0.060141050869999989,,,,,,,,,,
4.3454973752,75,4.3454973752,0.060788570870000002,,,,,,,,,,
4.3648225752,75,4.3648225752,0.060113770869999999,,,,,,,,,,
4.3847593752,75,4.3847593752,0.06005057087,,,,,,,,,,
4.4048396952,75,4.4048396952,0.060130890869999994,,,,,,,,,,
4.4249129752,75,4.4249129752,0.060204170869999989,,,,,,,,,,
4.4447184952,75,4.4447184952,0.060009690869999992,,,,,,,,,,
4.4648224152,75,4.4648224152,0.06011361087,,,,,,,,,,
4.4851412952,75,4.4851412952,0.060432490869999993,,,,,,,,,,
4.5048096152,75,4.5048096152,0.060100810869999993,,,,,,,,,,
4.5247331352,75,4.5247331352,0.060024330870000003,,,,,,,,,,
4.5447898552,75,4.5447898552,0.060081050869999999,,,,,,,,,,
4.5647844152,75,4.5647844152,0.06007561086999999,,,,,,,,,,
4.5847888952,75,4.5847888952,0.060080090869999991,,,,,,,,,,
4.6048323352,75,4.6048323352,0.060123530869999996,,,,,,,,,,
