rxPkOk:vector(packetBytes) baselineTestQoS.router0.ppp[3].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),,txPk:vector(packetBytes) baselineTestQoS.router0.ppp[3].ppp (#0 - testingConfigurator5slices-0-20240322-15:59:30-33125),
0.871025229397,47,0.876333178017,1499
0.876345746017,47,0.881652744959,1499
0.881665312959,47,0.887082988948,1499
0.887095556948,47,0.892375625557,1499
0.892388193557,47,0.897718733585,1499
0.897731301585,47,0.903072589442,1499
0.903085157442,47,0.908418552972,1499
0.908431120972,47,0.913823228559,1499
0.913835796559,47,0.919194517766,1499
0.919207085766,47,0.924554450076,1499
0.924567018076,47,0.92985229541,1499
0.92986486341,47,0.935172779159,1499
0.935185347159,47,0.940676793006,1499
0.940689361006,47,0.946020668403,1499
0.946033236403,47,0.951370266197,1499
0.951382834197,47,0.956672062017,1499
0.956684630017,47,0.961990429759,1499
0.962002997759,47,0.967362130407,1499
0.967374698407,47,1.047684624807,1311
1.047695688807,47,1.127811389442,47
1.047697664807,247,1.127931309442,1499
1.127943877442,47,1.128051229442,1499
1.128063797442,47,1.132140336597,1499
1.132152904597,47,1.137057885395,1499
1.137070453395,47,1.142629119829,1499
1.142641687829,47,1.147839144948,1499
1.147851712948,47,1.153772485772,1499
1.153785053772,47,1.158527298021,1499
1.158539866021,47,1.1648762752,1499
1.1648888432,47,1.1692331552,1499
1.1692457232,47,1.1752478752,1499
1.1752604432,47,1.1799533144,1499
1.1799658824,47,1.1861929952,1499
1.1862055632,47,1.1907321952,1499
1.1907447632,47,1.1977661152,1499
1.1977786832,47,1.2014044352,1499
1.2014170032,47,1.2080827552,1499
1.2080953232,47,1.2122919552,1499
1.2123045232,47,1.2189073152,1499
1.2189198832,47,1.2228826752,1499
1.2228952432,47,1.2289544352,1499
1.2289670032,47,1.2334179552,1499
1.2334305232,47,1.2395101152,1499
1.2395226832,47,1.2441090752,1499
1.2441216432,47,1.2505188352,1499
1.2505314032,47,1.2549588352,1499
1.2549714032,47,1.2608996352,1499
1.2609122032,47,1.2655153152,1499
1.2655278832,47,1.2718277952,1499
1.2718403632,47,1.2764087552,1499
1.2764213232,47,1.2831756352,1499
1.2831882032,47,1.2873056352,1499
1.2873182032,47,1.2937141152,1499
1.2937266832,47,1.2979353152,1499
1.2979478832,47,1.3041052352,1499
1.3041178032,47,1.3083444352,1499
1.3083570032,47,1.3145010752,1499
1.3145136432,47,1.3193338752,1499
1.3193464432,47,1.3253838752,1499
1.3253964432,47,1.3300817152,1499
1.3300942832,47,1.3358656352,1499
1.3358782032,47,1.3404542752,1499
1.3404668432,47,1.3466305952,1499
1.3466431632,47,1.3514573952,1499
1.3514699632,47,1.3572495552,1499
1.3572621232,47,1.3621983552,1499
1.3622109232,47,1.3709566752,1499
1.3709692432,47,1.3815696352,1499
1.3815822032,47,1.3816895552,1499
1.3817021232,47,1.3906356352,1499
1.3906482032,47,1.3924483552,1499
1.3924609232,47,1.3981373152,1499
1.3981498832,47,1.4029581152,1499
1.4029706832,47,1.4067116352,1499
1.4067242032,47,1.4134789152,1499
1.4134914832,47,1.4174681952,1499
1.4174807632,47,1.4240240352,1499
1.4240366032,47,1.4282679552,1499
1.4282805232,47,1.4352533152,1499
1.4352658832,47,1.4453549952,1499
1.4453675632,47,1.4459545952,1499
1.4459671632,47,1.4566970752,1499
1.4567096432,47,1.4580281952,1499
1.4580407632,47,1.4675072352,1499
1.4675198032,47,1.4741452352,1499
1.4741578032,47,1.4781373152,1499
1.4781498832,47,1.4864825152,1499
1.4864950832,47,1.4888989152,1499
1.4889114832,47,1.4986771552,1499
1.4986897232,47,1.4995333152,1499
1.4995458832,47,1.5085040352,1499
1.5085166032,47,1.5102056352,1499
1.5102182032,47,1.5179165152,1499
